Time: 53.081839974874, Node: node[93], myRouteTimeout: 2.843573086011, deletePeriod: 5.687146172022
Time: 53.082619215578, Node: node[93], myRouteTimeout: 2.636794195621, deletePeriod: 5.273588391243
Time: 53.083834865676, Node: node[110], myRouteTimeout: 2.389059584631, deletePeriod: 4.778119169262
Time: 53.084307159263, Node: node[93], myRouteTimeout: 2.835496205498, deletePeriod: 5.670992410995
Time: 53.084576196597, Node: node[93], myRouteTimeout: 2.628791043852, deletePeriod: 5.257582087704
Time: 53.085105258661, Node: node[110], myRouteTimeout: 2.380188643214, deletePeriod: 4.760377286427
Time: 53.085387881499, Node: node[93], myRouteTimeout: 2.827643399359, deletePeriod: 5.655286798718
Time: 53.085816753148, Node: node[93], myRouteTimeout: 2.621008899684, deletePeriod: 5.242017799368
Time: 53.086072089982, Node: node[110], myRouteTimeout: 2.371561551171, deletePeriod: 4.743123102342
Time: 53.086328225032, Node: node[110], myRouteTimeout: 2.567048747539, deletePeriod: 5.134097495078
Time: 53.086662360082, Node: node[110], myRouteTimeout: 2.564967998308, deletePeriod: 5.129935996616
Time: 53.087178294003, Node: node[97], myRouteTimeout: 3.076994939744, deletePeriod: 6.153989879489
Time: 53.087433916617, Node: node[97], myRouteTimeout: 2.869270986281, deletePeriod: 5.738541972561
Time: 53.087689539231, Node: node[97], myRouteTimeout: 2.865367822087, deletePeriod: 5.730735644173
Time: 53.087997161845, Node: node[97], myRouteTimeout: 2.861499473079, deletePeriod: 5.722998946158
Time: 53.088356866566, Node: node[93], myRouteTimeout: 2.596913386181, deletePeriod: 5.193826772362
Time: 53.088756456224, Node: node[134], myRouteTimeout: 2.735540853595, deletePeriod: 5.47108170719
Time: 53.089104045882, Node: node[93], myRouteTimeout: 2.591019695827, deletePeriod: 5.182039391653
Time: 53.089628354752, Node: node[97], myRouteTimeout: 2.849190320714, deletePeriod: 5.698380641428
Time: 53.090066425964, Node: node[49], myRouteTimeout: 2.582990845071, deletePeriod: 5.165981690143
Time: 53.090385754696, Node: node[110], myRouteTimeout: 2.33196485722, deletePeriod: 4.66392971444
Time: 53.090668137215, Node: node[49], myRouteTimeout: 2.782579494986, deletePeriod: 5.565158989973
Time: 53.090964279639, Node: node[49], myRouteTimeout: 2.576295478732, deletePeriod: 5.152590957464
Time: 53.091247422063, Node: node[49], myRouteTimeout: 2.573817223686, deletePeriod: 5.147634447372
Time: 53.091501973465, Node: node[97], myRouteTimeout: 2.833871760175, deletePeriod: 5.66774352035
Time: 53.092783247511, Node: node[97], myRouteTimeout: 2.830318163447, deletePeriod: 5.660636326894
Time: 53.09466041594, Node: node[49], myRouteTimeout: 2.564275279201, deletePeriod: 5.128550558403
Time: 53.095305070449, Node: node[49], myRouteTimeout: 2.561889444822, deletePeriod: 5.123778889644
Time: 53.096255707945, Node: node[49], myRouteTimeout: 2.559523630075, deletePeriod: 5.119047260151
Time: 53.11152578121, Node: node[190], myRouteTimeout: 1.831501913507, deletePeriod: 3.663003827014
Time: 53.112280207776, Node: node[190], myRouteTimeout: 2.113438057978, deletePeriod: 4.226876115957
Time: 53.235320821309, Node: node[100], myRouteTimeout: 2.479650507438, deletePeriod: 4.959301014875
Time: 53.235642863523, Node: node[100], myRouteTimeout: 2.340448153327, deletePeriod: 4.680896306653
