density	speed	localCbr
100	10	14.631782
100	10	17.204206
100	10	39.171362
100	10	31.681859
100	10	22.579433
100	10	32.016052
100	10	14.409312
100	10	21.340362
100	10	2.779797
100	10	9.004828
100	10	29.268672
100	10	17.614683
100	10	64.506485
100	10	60.152513
100	10	14.774641
100	10	40.915659
100	10	39.711768
100	10	24.865879
100	10	19.103182
100	10	26.789424
100	10	52.936894
100	10	30.74713
100	10	24.542037
100	10	9.520036
100	10	23.123645
100	10	9.852316
100	10	31.829328
100	10	19.26661
100	10	45.52344
100	10	20.429142
100	10	17.31445
100	10	26.41934
100	10	19.231112
100	10	13.150704
100	10	0.705856
100	10	9.702516
100	10	12.546384
100	10	4.571091
100	10	17.470459
100	10	18.837883
100	10	17.034137
100	10	16.312248
100	10	3.045422
100	10	6.91261
100	10	13.65813
100	10	12.466748
100	10	15.686529
100	10	10.262059
100	10	18.495872
100	10	23.599499
100	10	21.88547
100	10	16.934019
100	10	25.501154
100	10	10.168796
100	10	6.26186
100	10	21.884044
100	10	26.923596
100	10	14.874428
100	10	17.525583
100	10	28.1941
100	10	10.455509
100	10	24.94719
100	10	39.776009
100	10	32.748721
100	10	39.941687
100	10	28.461534
100	10	25.03935
100	10	22.120142
100	10	19.660707
100	10	24.601157
100	10	18.638351
100	10	13.5458
100	10	26.726926
100	10	30.142897
100	10	30.270105
100	10	28.304202
100	10	42.005658
100	10	0.0
100	10	23.685836
100	10	30.924054
100	10	15.988968
100	10	33.730995
100	10	38.206628
100	10	26.486791
100	10	22.659897
100	10	100.0
100	10	22.265264
100	10	22.715859
100	10	50.732644
100	10	38.944432
100	10	38.394016
100	10	46.989304
100	10	35.796733
100	10	52.426966
100	10	41.045386
100	10	47.490413
100	10	45.844132
100	10	51.497856
100	10	3.600058
100	10	41.911205
100	10	45.171453
100	10	49.814844
100	10	53.593484
100	10	54.683717
100	10	41.776907
100	10	8.693595
100	10	31.057022
100	10	31.182566
100	10	35.141434
100	10	12.509495
100	10	37.280302
100	10	23.438703
100	10	33.844501
100	10	41.95631
100	10	44.802754
100	10	34.738882
100	10	42.788084
100	10	36.153813
100	10	41.811876
100	10	45.52617
100	10	45.589423
100	10	42.715581
100	10	41.750468
100	10	35.25098
100	10	44.301274
100	10	33.339728
100	10	42.69404
100	10	30.394174
100	10	21.52432
100	10	8.5614
100	10	20.723082
100	10	20.647924
100	10	21.877966
100	10	21.764892
100	10	40.631043
100	10	36.426314
100	10	29.717316
100	10	44.862169
100	10	8.665282
100	10	49.050851
100	10	15.459585
100	10	22.344837
100	10	5.051445
100	10	7.981241
100	10	34.325897
100	10	27.839671
100	10	28.185282
100	10	19.748753
100	10	26.386304
100	10	18.911716
100	10	48.374326
100	10	16.574682
100	10	35.30951
100	10	57.568776
100	10	59.923393
100	10	51.529302
